"id","filename","description","main","created","country_id","thumbnail","long_thumb","color_palette","height","screenshot","stat_count","story_count","viz_count","palette_image","screenshot_missing","total_stats"
248,"brazil.png","",False,"2016-07-07 01:23:55.983-04",45,"thumbnails/brazil.png","long_thumbs/brazil.png","[(247, 248, 246), (7, 18, 43), (147, 145, 136)]",800,"screenshots/brazil.png",4,0,1,"palettes/brazil.png",NULL,5
249,"bulgaria.png","",False,"2016-07-07 01:23:55.983-04",46,"thumbnails/bulgaria.png","long_thumbs/bulgaria.png","[(244, 241, 233), (107, 104, 132), (86, 4, 7)]",2779,"screenshots/bulgaria.png",4,0,0,"palettes/bulgaria.png",NULL,4
250,"burkina_faso.png","",False,"2016-07-07 01:23:55.984-04",47,"thumbnails/burkina_faso.png","long_thumbs/burkina_faso.png","[(92, 132, 178), (245, 247, 247), (79, 60, 53)]",1248,"screenshots/burkina_faso.png",5,0,0,"palettes/burkina_faso.png",NULL,5
252,"burundi.png","",False,"2016-07-07 01:23:55.985-04",49,"thumbnails/burundi.png","long_thumbs/burundi.png","[(139, 168, 132), (244, 245, 244), (10, 38, 11)]",1146,"screenshots/burundi.png",0,0,0,"palettes/burundi.png",NULL,0
253,"cambodia.png","",False,"2016-07-07 01:23:55.985-04",50,"thumbnails/cambodia.png","long_thumbs/cambodia.png","[(253, 253, 252), (74, 92, 177), (228, 228, 229)]",1473,"screenshots/cambodia.png",4,0,0,"palettes/cambodia.png",NULL,4
221,"united_states_-_nchs.png","",False,"2016-07-06 22:51:44.853-04",206,"thumbnails/united_states_-_nchs.png","long_thumbs/united_states_-_nchs.png","[(163, 44, 96), (247, 249, 249), (11, 82, 142)]",1761,"screenshots/united_states_-_nchs.png",0,1,0,"palettes/united_states_-_nchs.png",NULL,1
254,"cameroon.png","",False,"2016-07-07 01:23:55.986-04",51,"thumbnails/cameroon.png","long_thumbs/cameroon.png","[(249, 250, 249), (68, 80, 118), (159, 183, 200)]",1499,"screenshots/cameroon.png",5,4,0,"palettes/cameroon.png",NULL,9
224,"yemen.png","",False,"2016-07-06 22:51:57.361-04",218,"thumbnails/site_404.png","long_thumbs/site_404.png","[(255, 255, 255), (255, 255, 255), (255, 255, 255)]",150,"screenshots/site_404.png",0,0,0,"test","has us census",0
226,"united_states_-_nces.png","",False,"2016-07-06 22:52:05.147-04",211,"thumbnails/united_states_-_nces.png","long_thumbs/united_states_-_nces.png","[(247, 249, 249), (42, 40, 42), (174, 162, 145)]",1805,"screenshots/united_states_-_nces.png",0,0,0,"palettes/united_states_-_nces.png",NULL,0
261,"afghanistan.png","",False,"2016-07-07 01:23:55.989-04",12,"thumbnails/afghanistan.png","long_thumbs/afghanistan.png","[(238, 243, 243), (108, 147, 173), (60, 52, 45)]",1827,"screenshots/afghanistan.png",0,0,0,"palettes/afghanistan.png",NULL,0
274,"kazakhstan.png","",False,"2016-07-07 21:49:22.619-04",111,"thumbnails/kazakhstan.png","long_thumbs/kazakhstan.png","[(29, 98, 143), (253, 254, 254), (216, 182, 90)]",800,"screenshots/kazakhstan.png",0,0,0,"palettes/kazakhstan.png",NULL,0
157,"sierra_leone.png","",False,"2016-07-06 02:13:06.162-04",175,"thumbnails/sierra_leone.png","long_thumbs/sierra_leone.png","[(250, 250, 250), (35, 51, 61), (46, 156, 202)]",1786,"screenshots/sierra_leone.png",0,0,1,"palettes/sierra_leone.png",NULL,1
166,"sri_lanka.png","",False,"2016-07-06 02:16:00.213-04",184,"thumbnails/sri_lanka.png","long_thumbs/sri_lanka.png","[(19, 11, 11), (231, 232, 233), (75, 121, 165)]",1546,"screenshots/sri_lanka.png",0,4,0,"palettes/sri_lanka.png",NULL,4
182,"tuvalu.png","",False,"2016-07-06 02:20:38.592-04",200,"thumbnails/tuvalu.png","long_thumbs/tuvalu.png","[(19, 75, 119), (248, 250, 250), (45, 155, 194)]",1341,"screenshots/tuvalu.png",0,0,0,"palettes/tuvalu.png",NULL,0
185,"united_arab_emirates.png","",False,"2016-07-06 02:22:10.457-04",203,"thumbnails/united_arab_emirates.png","long_thumbs/united_arab_emirates.png","[(244, 243, 240), (81, 72, 54), (187, 158, 105)]",1522,"screenshots/united_arab_emirates.png",6,0,0,"palettes/united_arab_emirates.png",NULL,6
198,"vietnam.png","",False,"2016-07-06 02:24:13.184-04",217,"thumbnails/vietnam.png","long_thumbs/vietnam.png","[(68, 114, 182), (247, 249, 249), (121, 100, 31)]",1249,"screenshots/vietnam.png",10,0,1,"palettes/vietnam.png",NULL,11
205,"cote_d_ivoire.png","",False,"2016-07-06 22:48:03.065-04",67,"thumbnails/cote_d_ivoire.png","long_thumbs/cote_d_ivoire.png","[(247, 248, 247), (66, 80, 105), (234, 150, 34)]",3187,"screenshots/cote_d_ivoire.png",17,3,0,"palettes/cote_d_ivoire.png",NULL,20
